temperature,direction,R,data_type,rho,sigma
21.988,-1,10901.0,raw,0.0005434798369666407,1839.9946639812158
22.056,-1,10861.3,raw,0.0005415005552927046,1846.7201745701932
22.112,-1,10828.9,raw,0.0005398852221381574,1852.245549599612
22.155,-1,10800.9,raw,0.0005384892552144747,1857.047267548004
22.196,-1,10778.9,raw,0.0005373924240601526,1860.8375466939328
22.256,-1,10742.9,raw,0.0005355976094439889,1867.0733072130652
22.325,-1,10702.6,raw,0.000533588414193117,1874.1036600507573
22.381,-1,10670.2,raw,0.0005319730810385698,1879.7943648721894
22.447,-1,10631.2,raw,0.0005300286985377259,1886.6902919763747
22.497,-1,10601.9,raw,0.000528567918864015,1891.9044541128699
22.542,-1,10578.1,raw,0.0005273813469788846,1896.1611094676016
22.58,-1,10556.1,raw,0.0005262845158245624,1900.1129045821124
22.64,-1,10517.7,raw,0.0005243700469006547,1907.0501946299316
22.708,-1,10485.3,raw,0.0005227547137461074,1912.9430566659262
22.764,-1,10453.6,raw,0.0005211742797646523,1918.743957302674
22.829,-1,10416.3,raw,0.0005193146523984606,1925.6148375199675
22.899,-1,10378.5,raw,0.0005174300970514888,1932.6282056230896
22.97,-1,10342.5,raw,0.0005156352824353253,1939.3552653671002
23.029,-1,10313.8,raw,0.0005142044163385504,1944.7518695397657
23.098,-1,10276.0,raw,0.0005123198609915787,1951.905588950879
23.155,-1,10249.1,raw,0.000510978735625612,1957.028600760968
23.225,-1,10207.6,raw,0.0005089097132208679,1964.9850926818485
23.278,-1,10181.4,raw,0.0005076034870279933,1970.0416280726852
23.321,-1,10160.0,raw,0.0005065365694506071,1974.1911252026807
23.362,-1,10139.2,raw,0.0005054995654501571,1978.2410675456874
23.419,-1,10108.7,raw,0.0005039789586225742,1984.2098224360434
23.488,-1,10073.9,raw,0.0005022439711602826,1991.0642186302462
23.542,-1,10044.6,raw,0.0005007831914865718,1996.8721334905554
23.597,-1,10015.9,raw,0.0004993523253897968,2002.5940586526663
23.637,-1,9999.43,raw,0.0004985311977029021,2005.892519079511
23.681,-1,9974.4,raw,0.0004972833029850527,2010.926154160575
23.733,-1,9948.16,raw,0.0004959750825537158,2016.2303211909777
23.789,-1,9920.08,raw,0.0004945751271531082,2021.9375077680056
23.828,-1,9898.72,raw,0.0004935102038141845,2026.300555229286
23.87,-1,9879.19,raw,0.0004925365168849157,2030.3063137827328
23.92,-1,9854.16,raw,0.0004912886221670664,2035.4633811567132
23.983,-1,9821.21,raw,0.0004896458682336611,2042.2923277334708
24.05,-1,9788.25,raw,0.0004880026157406403,2049.1693440665326
24.1,-1,9762.61,raw,0.0004867243088862394,2054.5511735139717
24.14,-1,9740.64,raw,0.000485628973410764,2059.1852108341172
24.174,-1,9727.21,raw,0.0004849594078470118,2062.0282518892095
24.223,-1,9699.13,raw,0.00048355945244640423,2067.9980402427063
24.28,-1,9672.28,raw,0.0004822208198785157,2073.738749504691
24.319,-1,9658.24,raw,0.00048152084217821186,2076.753304127795
24.353,-1,9639.93,raw,0.00048060797952204646,2080.6978714637175
24.406,-1,9611.24,raw,0.0004791776119848872,2086.908851725608
24.474,-1,9579.51,raw,0.00047759568232458527,2093.8212739544333
24.537,-1,9551.43,raw,0.00047619572692397767,2099.976844520583
24.607,-1,9525.18,raw,0.00047488700793302507,2105.764072916127
24.663,-1,9494.06,raw,0.00047333549040927473,2112.6664284888907
