# Measured 28 Jan 2023
Set temperature,Path
205,raw_data/28.01.23/06h31m28s_LSAT_eSRR Temp dep_205.00-205.25_Tem=205.00.txt
185,raw_data/28.01.23/05h46m46s_LSAT_eSRR Temp dep_185.00-185.25_Tem=185.00.txt
165,raw_data/28.01.23/05h04m58s_LSAT_eSRR Temp dep_165.00-165.30_Tem=165.00.txt
145,raw_data/28.01.23/04h25m49s_LSAT_eSRR Temp dep_145.00-145.36_Tem=145.00.txt
125,raw_data/28.01.23/03h48m55s_LSAT_eSRR Temp dep_125.00-125.45_Tem=125.00.txt
105,raw_data/28.01.23/03h13m38s_LSAT_eSRR Temp dep_105.00-105.54_Tem=105.00.txt
85,raw_data/28.01.23/02h40m08s_LSAT_eSRR Temp dep_85.00-85.60_Tem=85.00.txt
65,raw_data/28.01.23/02h08m43s_LSAT_eSRR Temp dep_65.00-65.72_Tem=65.00.txt
45,raw_data/28.01.23/01h33m45s_LSAT_eSRR Temp dep_45.00-45.88_Tem=45.00.txt
25,raw_data/28.01.23/01h05m47s_LSAT_eSRR Temp dep_25.00-26.14_Tem=25.00.txt
5,raw_data/28.01.23/00h38m18s_LSAT_eSRR Temp dep_4.99-5.69_Tem=5.00.txt
