# Measured 28-29 Jan 2023
# Direction +1 corresponds to warming
Set temperature,Direction,Path
10,-1,raw_data/29.01.23/23h52m36s_NNO film temperature dep_10.03-10.64_Tem=10.00.txt
50,-1,raw_data/29.01.23/23h21m50s_NNO film temperature dep_50.00-50.98_Tem=50.00.txt
100,-1,raw_data/29.01.23/22h34m31s_NNO film temperature dep_100.00-100.63_Tem=100.00.txt
105,-1,raw_data/29.01.23/22h05m08s_NNO film temperature dep_105.00-105.62_Tem=105.00.txt
110,-1,raw_data/29.01.23/21h36m02s_NNO film temperature dep_110.00-110.61_Tem=110.00.txt
115,-1,raw_data/29.01.23/21h06m49s_NNO film temperature dep_115.00-115.59_Tem=115.00.txt
120,-1,raw_data/29.01.23/20h37m27s_NNO film temperature dep_120.00-120.55_Tem=120.00.txt
125,-1,raw_data/29.01.23/20h08m19s_NNO film temperature dep_125.00-125.51_Tem=125.00.txt
130,-1,raw_data/29.01.23/19h39m12s_NNO film temperature dep_130.00-130.47_Tem=130.00.txt
135,-1,raw_data/29.01.23/19h10m07s_NNO film temperature dep_135.00-135.45_Tem=135.00.txt
140,-1,raw_data/29.01.23/18h41m00s_NNO film temperature dep_140.00-140.43_Tem=140.00.txt
145,-1,raw_data/29.01.23/18h11m55s_NNO film temperature dep_145.00-145.40_Tem=145.00.txt
150,-1,raw_data/29.01.23/17h42m54s_NNO film temperature dep_150.00-150.39_Tem=150.00.txt
155,-1,raw_data/29.01.23/17h13m39s_NNO film temperature dep_155.00-155.37_Tem=155.00.txt
160,-1,raw_data/29.01.23/16h44m19s_NNO film temperature dep_160.00-160.34_Tem=160.00.txt
165,-1,raw_data/29.01.23/16h15m15s_NNO film temperature dep_165.00-165.32_Tem=165.00.txt
170,-1,raw_data/29.01.23/15h46m16s_NNO film temperature dep_170.00-170.30_Tem=170.00.txt
175,-1,raw_data/29.01.23/15h17m04s_NNO film temperature dep_175.00-175.28_Tem=175.00.txt
180,-1,raw_data/29.01.23/14h47m57s_NNO film temperature dep_180.00-180.26_Tem=180.00.txt
185,-1,raw_data/29.01.23/14h19m02s_NNO film temperature dep_185.00-185.25_Tem=185.00.txt
190,-1,raw_data/29.01.23/13h49m37s_NNO film temperature dep_190.00-190.25_Tem=190.00.txt
195,-1,raw_data/29.01.23/13h21m01s_NNO film temperature dep_195.00-195.25_Tem=195.00.txt
200,-1,raw_data/29.01.23/12h52m17s_NNO film temperature dep_200.00-200.25_Tem=200.00.txt
205,-1,raw_data/29.01.23/12h23m34s_NNO film temperature dep_205.00-205.24_Tem=205.00.txt
210,-1,raw_data/29.01.23/11h54m53s_NNO film temperature dep_210.00-210.23_Tem=210.00.txt
215,-1,raw_data/29.01.23/11h26m07s_NNO film temperature dep_215.00-215.22_Tem=215.00.txt
220,-1,raw_data/29.01.23/10h57m28s_NNO film temperature dep_220.00-220.20_Tem=220.00.txt
220,+1,raw_data/29.01.23/10h31m01s_NNO film temperature dep_220.00-220.21_Tem=220.00.txt
215,+1,raw_data/29.01.23/09h58m53s_NNO film temperature dep_215.00-215.23_Tem=215.00.txt
210,+1,raw_data/29.01.23/09h27m34s_NNO film temperature dep_210.00-210.25_Tem=210.00.txt
205,+1,raw_data/29.01.23/08h56m20s_NNO film temperature dep_205.00-205.26_Tem=205.00.txt
200,+1,raw_data/29.01.23/08h25m04s_NNO film temperature dep_200.00-200.26_Tem=200.00.txt
195,+1,raw_data/29.01.23/07h54m23s_NNO film temperature dep_195.00-195.26_Tem=195.00.txt
190,+1,raw_data/29.01.23/07h23m47s_NNO film temperature dep_190.00-190.27_Tem=190.00.txt
185,+1,raw_data/29.01.23/06h53m23s_NNO film temperature dep_185.00-185.27_Tem=185.00.txt
180,+1,raw_data/29.01.23/06h22m39s_NNO film temperature dep_180.00-180.28_Tem=180.00.txt
175,+1,raw_data/29.01.23/05h52m29s_NNO film temperature dep_175.00-175.29_Tem=175.00.txt
170,+1,raw_data/29.01.23/05h22m44s_NNO film temperature dep_170.00-170.31_Tem=170.00.txt
165,+1,raw_data/29.01.23/04h52m27s_NNO film temperature dep_165.00-165.32_Tem=165.00.txt
160,+1,raw_data/29.01.23/04h22m31s_NNO film temperature dep_160.00-160.34_Tem=160.00.txt
155,+1,raw_data/29.01.23/03h52m49s_NNO film temperature dep_155.00-155.35_Tem=155.00.txt
150,+1,raw_data/29.01.23/03h23m11s_NNO film temperature dep_150.00-150.37_Tem=150.00.txt
145,+1,raw_data/29.01.23/02h53m57s_NNO film temperature dep_145.00-145.39_Tem=145.00.txt
140,+1,raw_data/29.01.23/02h24m46s_NNO film temperature dep_140.00-140.40_Tem=140.00.txt
135,+1,raw_data/29.01.23/01h55m24s_NNO film temperature dep_135.00-135.42_Tem=135.00.txt
130,+1,raw_data/29.01.23/01h26m27s_NNO film temperature dep_130.00-130.45_Tem=130.00.txt
125,+1,raw_data/29.01.23/00h57m35s_NNO film temperature dep_125.00-125.47_Tem=125.00.txt
120,+1,raw_data/29.01.23/00h29m00s_NNO film temperature dep_120.00-120.51_Tem=120.00.txt
115,+1,raw_data/29.01.23/00h00m20s_NNO film temperature dep_115.00-115.55_Tem=115.00.txt
110,+1,raw_data/28.01.23/23h31m41s_NNO film temperature dep_110.00-110.56_Tem=110.00.txt
105,+1,raw_data/28.01.23/23h03m17s_NNO film temperature dep_105.00-105.57_Tem=105.00.txt
100,+1,raw_data/28.01.23/22h35m07s_NNO film temperature dep_100.00-100.58_Tem=100.00.txt
50,+1,raw_data/28.01.23/21h55m01s_NNO film temperature dep_50.00-50.86_Tem=50.00.txt
10,+1,raw_data/28.01.23/21h25m44s_NNO film temperature dep_9.94-10.52_Tem=10.00.txt
