HWP,Delay,t,Temperature,Path
30,0.0000,1090.95,100,raw_data/06.02.23/23h24m24s_ZnTe F21059 transmission xHWP xPP_100.00-100.72_Tem=100.00_HWP=30.00_Del=0.00.txt
30,51.690,746.120,100,raw_data/07.02.23/00h27m55s_ZnTe F21059 transmission xHWP xPP_100.00-100.71_Tem=100.00_HWP=30.00_Del=51.69.txt
30,103.37,401.340,100,raw_data/07.02.23/01h31m24s_ZnTe F21059 transmission xHWP xPP_100.00-100.71_Tem=100.00_HWP=30.00_Del=103.37.txt
30,122.38,274.520,100,raw_data/07.02.23/02h34m52s_ZnTe F21059 transmission xHWP xPP_100.00-100.71_Tem=100.00_HWP=30.00_Del=122.38.txt
30,141.39,147.700,100,raw_data/07.02.23/03h38m19s_ZnTe F21059 transmission xHWP xPP_100.00-100.71_Tem=100.00_HWP=30.00_Del=141.39.txt
30,148.38,101.070,100,raw_data/07.02.23/04h41m47s_ZnTe F21059 transmission xHWP xPP_100.00-100.71_Tem=100.00_HWP=30.00_Del=148.38.txt
30,152.28,75.0500,100,raw_data/07.02.23/05h45m16s_ZnTe F21059 transmission xHWP xPP_100.00-100.71_Tem=100.00_HWP=30.00_Del=152.28.txt
30,155.38,54.3700,100,raw_data/07.02.23/11h17m23s_ZnTe F21059 transmission xHWP xPP_100.00-100.70_Tem=100.00_HWP=30.00_Del=155.38.txt
30,157.95,37.2300,100,raw_data/07.02.23/11h50m56s_ZnTe F21059 transmission xHWP xPP_100.00-100.70_Tem=100.00_HWP=30.00_Del=157.96.txt
30,157.96,37.1600,100,raw_data/07.02.23/12h24m21s_ZnTe F21059 transmission xHWP xPP_100.00-100.70_Tem=100.00_HWP=30.00_Del=160.53.txt
30,160.53,20.0100,100,raw_data/07.02.23/12h57m50s_ZnTe F21059 transmission xHWP xPP_100.00-100.70_Tem=100.00_HWP=30.00_Del=161.27.txt
30,161.27,15.0800,100,raw_data/07.02.23/13h31m14s_ZnTe F21059 transmission xHWP xPP_100.00-100.70_Tem=100.00_HWP=30.00_Del=162.02.txt
30,162.76,10.0700,100,raw_data/07.02.23/14h04m38s_ZnTe F21059 transmission xHWP xPP_100.00-100.70_Tem=100.00_HWP=30.00_Del=162.76.txt
30,163.25,5.14000,100,raw_data/06.02.23/19h52m22s_ZnTe F21059 transmission xHWP xPP_100.00-100.73_Tem=100.00_HWP=30.00_Del=163.25.txt
30,166.00,5.07000,100,raw_data/06.02.23/18h33m35s_ZnTe F21059 transmission xHWP xPP_100.00-100.74_Tem=100.00_HWP=30.00_Del=166.00.txt
30,171.00,-49.830,100,raw_data/07.02.23/15h46m17s_ZnTe F21059 transmission xHWP xPP_100.00-100.70_Tem=100.00_HWP=30.00_Del=171.00.txt
30.0,0.0,1090.678400,5,raw_data/03.02.23/16h13m35s_ZnTe F21059 transmission xPP xHWP_2.98-4.71_HWP=30.00_Del=0.00.txt
30.0,51.69,745.90610,5,raw_data/04.02.23/13h48m04s_ZnTe F21059 transmission xPP xHWP_HWP=30.00_Del=51.69.txt
30.0,103.37,401.2005,5,raw_data/03.02.23/15h54m06s_ZnTe F21059 transmission xPP xHWP_2.98-4.71_HWP=30.00_Del=103.37.txt
30.0,122.38,274.4038,5,raw_data/04.02.23/13h22m37s_ZnTe F21059 transmission xPP xHWP_HWP=30.00_Del=122.38.txt
30.0,141.39,147.6071,5,raw_data/03.02.23/15h34m39s_ZnTe F21059 transmission xPP xHWP_2.99-4.71_HWP=30.00_Del=141.39.txt
30.0,148.38,100.9838,5,raw_data/04.02.23/12h57m12s_ZnTe F21059 transmission xPP xHWP_HWP=30.00_Del=148.38.txt
30.0,152.28,74.97080,5,raw_data/06.02.23/13h02m33s_ZnTe F21059 transmission xPP xHWP_2.99-4.69_HWP=30.00_Del=152.28.txt
30.0,155.38,54.29380,5,raw_data/03.02.23/15h15m13s_ZnTe F21059 transmission xPP xHWP_2.99-4.72_HWP=30.00_Del=155.38.txt
30.0,157.95,37.15190,5,raw_data/06.02.23/00h48m43s_ZnTe F21059 transmission xPP xHWP_2.98-4.69_HWP=30.00_Del=157.95.txt
30.0,157.96,37.08520,5,raw_data/04.02.23/12h31m47s_ZnTe F21059 transmission xPP xHWP_HWP=30.00_Del=157.96.txt
30.0,160.53,19.94330,5,raw_data/03.02.23/14h55m47s_ZnTe F21059 transmission xPP xHWP_2.98-4.72_HWP=30.00_Del=160.53.txt
30.0,161.27,15.00750,5,raw_data/05.02.23/09h29m20s_ZnTe F21059 transmission xPP xHWP_Del=161.27_HWP=30.00.txt
30.0,162.02,10.00500,5,raw_data/05.02.23/01h59m30s_ZnTe F21059 transmission xPP xHWP_Del=162.02_HWP=30.00.txt
30.0,162.76,5.069200,5,raw_data/04.02.23/12h06m22s_ZnTe F21059 transmission xPP xHWP_HWP=30.00_Del=162.76.txt
30.0,162.77,5.002500,5,raw_data/05.02.23/05h44m25s_ZnTe F21059 transmission xPP xHWP_Del=162.77_HWP=30.00.txt
30.0,165.0,-9.871600,5,raw_data/03.02.23/14h36m20s_ZnTe F21059 transmission xPP xHWP_2.98-4.72_HWP=30.00_Del=165.00.txt
30.0,171.0,-49.89160,5,raw_data/06.02.23/01h35m58s_ZnTe F21059 transmission xPP xHWP_2.98-4.70_HWP=30.00_Del=171.00.txt
