Temperature,HWP,Path
4.00,65.00,raw_data/07.03.23/22h57m57s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.02-5.08_Tem=4.00_HWP=65.00_Del=162.10.txt
4.00,63.00,raw_data/07.03.23/23h03m41s_F21059_eSRR THz probe chopped xHWP xT 10ps_3.98-5.06_Tem=4.00_HWP=63.00_Del=162.10.txt
4.00,61.00,raw_data/07.03.23/23h09m19s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.00-5.08_Tem=4.00_HWP=61.00_Del=162.10.txt
4.00,59.00,raw_data/07.03.23/23h14m48s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.01-5.08_Tem=4.00_HWP=59.00_Del=162.10.txt
4.00,57.00,raw_data/07.03.23/23h20m19s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.00-5.06_Tem=4.00_HWP=57.00_Del=162.10.txt
4.00,55.00,raw_data/07.03.23/23h25m45s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.01-5.06_Tem=4.00_HWP=55.00_Del=162.10.txt
4.00,53.00,raw_data/07.03.23/23h31m16s_F21059_eSRR THz probe chopped xHWP xT 10ps_3.98-5.06_Tem=4.00_HWP=53.00_Del=162.10.txt
4.00,51.00,raw_data/07.03.23/23h36m50s_F21059_eSRR THz probe chopped xHWP xT 10ps_3.99-5.07_Tem=4.00_HWP=51.00_Del=162.10.txt
4.00,49.00,raw_data/07.03.23/23h42m18s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.00-5.06_Tem=4.00_HWP=49.00_Del=162.10.txt
4.00,47.00,raw_data/07.03.23/23h47m49s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.00-5.08_Tem=4.00_HWP=47.00_Del=162.10.txt
4.00,45.00,raw_data/07.03.23/23h53m15s_F21059_eSRR THz probe chopped xHWP xT 10ps_3.99-5.08_Tem=4.00_HWP=45.00_Del=162.10.txt
4.00,43.00,raw_data/07.03.23/23h58m48s_F21059_eSRR THz probe chopped xHWP xT 10ps_3.98-5.07_Tem=4.00_HWP=43.00_Del=162.10.txt
4.00,35.00,raw_data/08.03.23/00h21m07s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.01-5.08_Tem=4.00_HWP=35.00_Del=162.10.txt
4.00,41.00,raw_data/08.03.23/00h04m17s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.01-5.08_Tem=4.00_HWP=41.00_Del=162.10.txt
4.00,39.00,raw_data/08.03.23/00h09m49s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.02-5.06_Tem=4.00_HWP=39.00_Del=162.10.txt
4.00,37.00,raw_data/08.03.23/00h15m22s_F21059_eSRR THz probe chopped xHWP xT 10ps_3.99-5.06_Tem=4.00_HWP=37.00_Del=162.10.txt
4.00,33.00,raw_data/08.03.23/00h26m51s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.00-5.08_Tem=4.00_HWP=33.00_Del=162.10.txt
4.00,31.00,raw_data/08.03.23/00h32m23s_F21059_eSRR THz probe chopped xHWP xT 10ps_3.99-5.06_Tem=4.00_HWP=31.00_Del=162.10.txt
4.00,29.00,raw_data/08.03.23/00h37m52s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.02-5.08_Tem=4.00_HWP=29.00_Del=162.10.txt
4.00,27.00,raw_data/08.03.23/00h43m19s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.00-5.08_Tem=4.00_HWP=27.00_Del=162.10.txt
4.00,25.00,raw_data/08.03.23/00h48m52s_F21059_eSRR THz probe chopped xHWP xT 10ps_4.00-5.07_Tem=4.00_HWP=25.00_Del=162.10.txt
50.00,65.00,raw_data/08.03.23/00h57m38s_F21059_eSRR THz probe chopped xHWP xT 10ps_50.00-50.40_Tem=50.00_HWP=65.00_Del=162.10.txt
50.00,63.00,raw_data/08.03.23/01h03m09s_F21059_eSRR THz probe chopped xHWP xT 10ps_50.00-50.48_Tem=50.00_HWP=63.00_Del=162.10.txt
