# Peak pump is at 163.72 mm
Delay,Path
165.30,raw_data/18.02.23/19h08m49s_Probe scan xPP_3.02-4.71_HWP=30.00_Del=165.30.txt
165.20,raw_data/18.02.23/18h53m19s_Probe scan xPP_3.05-4.70_HWP=30.00_Del=165.20.txt
165.10,raw_data/18.02.23/18h37m49s_Probe scan xPP_3.03-4.70_HWP=30.00_Del=165.10.txt
165.00,raw_data/18.02.23/18h22m21s_Probe scan xPP_3.02-4.70_HWP=30.00_Del=165.00.txt
164.90,raw_data/18.02.23/18h06m52s_Probe scan xPP_3.02-4.70_HWP=30.00_Del=164.90.txt
164.80,raw_data/18.02.23/17h51m23s_Probe scan xPP_3.03-4.70_HWP=30.00_Del=164.80.txt
164.70,raw_data/18.02.23/17h35m54s_Probe scan xPP_3.04-4.71_HWP=30.00_Del=164.70.txt
164.60,raw_data/18.02.23/17h20m26s_Probe scan xPP_3.02-4.71_HWP=30.00_Del=164.60.txt
164.50,raw_data/18.02.23/17h04m57s_Probe scan xPP_3.03-4.71_HWP=30.00_Del=164.50.txt
164.40,raw_data/18.02.23/16h49m30s_Probe scan xPP_3.04-4.71_HWP=30.00_Del=164.40.txt
164.30,raw_data/18.02.23/16h34m02s_Probe scan xPP_3.03-4.71_HWP=30.00_Del=164.30.txt
164.20,raw_data/18.02.23/16h18m35s_Probe scan xPP_3.04-4.71_HWP=30.00_Del=164.20.txt
164.10,raw_data/18.02.23/16h03m05s_Probe scan xPP_3.03-4.70_HWP=30.00_Del=164.10.txt
164.00,raw_data/18.02.23/00h13m25s_Probe scan xPP_3.02-4.70_HWP=30.00_Del=164.00.txt
163.90,raw_data/18.02.23/00h28m53s_Probe scan xPP_3.02-4.70_HWP=30.00_Del=163.90.txt
163.80,raw_data/18.02.23/00h44m22s_Probe scan xPP_3.01-4.69_HWP=30.00_Del=163.80.txt
163.70,raw_data/18.02.23/00h59m50s_Probe scan xPP_3.02-4.70_HWP=30.00_Del=163.70.txt
163.60,raw_data/18.02.23/01h15m17s_Probe scan xPP_3.01-4.69_HWP=30.00_Del=163.60.txt
163.50,raw_data/18.02.23/01h30m44s_Probe scan xPP_3.01-4.69_HWP=30.00_Del=163.50.txt
163.40,raw_data/18.02.23/01h46m12s_Probe scan xPP_3.02-4.69_HWP=30.00_Del=163.40.txt
163.30,raw_data/18.02.23/02h01m40s_Probe scan xPP_3.02-4.69_HWP=30.00_Del=163.30.txt
163.20,raw_data/18.02.23/02h17m08s_Probe scan xPP_3.01-4.69_HWP=30.00_Del=163.20.txt
163.10,raw_data/18.02.23/02h32m36s_Probe scan xPP_3.00-4.69_HWP=30.00_Del=163.10.txt
163.00,raw_data/18.02.23/02h48m05s_Probe scan xPP_3.00-4.68_HWP=30.00_Del=163.00.txt
162.90,raw_data/18.02.23/03h03m33s_Probe scan xPP_3.03-4.70_HWP=30.00_Del=162.90.txt
162.80,raw_data/18.02.23/03h22m32s_Probe scan xPP_3.04-4.71_HWP=30.00_Del=162.80.txt
162.70,raw_data/18.02.23/03h39m26s_Probe scan xPP_3.05-4.72_HWP=30.00_Del=162.70.txt
162.60,raw_data/18.02.23/03h54m55s_Probe scan xPP_3.05-4.72_HWP=30.00_Del=162.60.txt
162.50,raw_data/18.02.23/04h10m23s_Probe scan xPP_3.06-4.72_HWP=30.00_Del=162.50.txt
162.40,raw_data/18.02.23/04h25m50s_Probe scan xPP_3.04-4.71_HWP=30.00_Del=162.40.txt
162.30,raw_data/18.02.23/04h41m18s_Probe scan xPP_3.04-4.72_HWP=30.00_Del=162.30.txt
162.20,raw_data/18.02.23/04h56m46s_Probe scan xPP_3.04-4.71_HWP=30.00_Del=162.20.txt
162.10,raw_data/18.02.23/05h12m12s_Probe scan xPP_3.04-4.72_HWP=30.00_Del=162.10.txt
162.00,raw_data/18.02.23/05h27m40s_Probe scan xPP_3.04-4.72_HWP=30.00_Del=162.00.txt
161.90,raw_data/18.02.23/05h43m08s_Probe scan xPP_3.06-4.72_HWP=30.00_Del=161.90.txt
161.80,raw_data/18.02.23/05h58m35s_Probe scan xPP_3.04-4.72_HWP=30.00_Del=161.80.txt
161.70,raw_data/18.02.23/06h14m03s_Probe scan xPP_3.03-4.72_HWP=30.00_Del=161.70.txt
161.60,raw_data/18.02.23/06h29m30s_Probe scan xPP_3.04-4.72_HWP=30.00_Del=161.60.txt
161.50,raw_data/18.02.23/06h44m58s_Probe scan xPP_3.06-4.72_HWP=30.00_Del=161.50.txt
161.40,raw_data/18.02.23/07h00m25s_Probe scan xPP_3.06-4.72_HWP=30.00_Del=161.40.txt
161.30,raw_data/18.02.23/07h15m53s_Probe scan xPP_3.04-4.72_HWP=30.00_Del=161.30.txt
161.20,raw_data/18.02.23/07h31m20s_Probe scan xPP_3.03-4.71_HWP=30.00_Del=161.20.txt
161.10,raw_data/18.02.23/07h46m49s_Probe scan xPP_3.04-4.72_HWP=30.00_Del=161.10.txt
161.00,raw_data/18.02.23/08h02m16s_Probe scan xPP_3.05-4.71_HWP=30.00_Del=161.00.txt
160.90,raw_data/18.02.23/08h17m43s_Probe scan xPP_3.04-4.72_HWP=30.00_Del=160.90.txt
160.80,raw_data/18.02.23/08h33m12s_Probe scan xPP_3.06-4.72_HWP=30.00_Del=160.80.txt
160.70,raw_data/18.02.23/08h48m39s_Probe scan xPP_3.06-4.72_HWP=30.00_Del=160.70.txt
160.60,raw_data/18.02.23/09h04m07s_Probe scan xPP_3.04-4.72_HWP=30.00_Del=160.60.txt
160.50,raw_data/18.02.23/09h19m34s_Probe scan xPP_3.03-4.71_HWP=30.00_Del=160.50.txt
160.40,raw_data/18.02.23/09h35m03s_Probe scan xPP_3.04-4.72_HWP=30.00_Del=160.40.txt
160.30,raw_data/18.02.23/09h50m30s_Probe scan xPP_3.04-4.72_HWP=30.00_Del=160.30.txt
160.20,raw_data/18.02.23/10h05m59s_Probe scan xPP_3.05-4.72_HWP=30.00_Del=160.20.txt
160.10,raw_data/18.02.23/10h21m28s_Probe scan xPP_3.06-4.72_HWP=30.00_Del=160.10.txt
160.00,raw_data/18.02.23/10h36m55s_Probe scan xPP_3.04-4.72_HWP=30.00_Del=160.00.txt
159.90,raw_data/18.02.23/10h52m24s_Probe scan xPP_3.05-4.72_HWP=30.00_Del=159.90.txt
159.80,raw_data/18.02.23/11h07m54s_Probe scan xPP_3.04-4.71_HWP=30.00_Del=159.80.txt
158.10,raw_data/18.02.23/15h30m46s_Probe scan xPP_3.03-4.70_HWP=30.00_Del=158.10.txt
158.70,raw_data/18.02.23/13h57m58s_Probe scan xPP_3.04-4.70_HWP=30.00_Del=158.70.txt
158.60,raw_data/18.02.23/14h13m26s_Probe scan xPP_3.05-4.71_HWP=30.00_Del=158.60.txt
158.50,raw_data/18.02.23/14h28m54s_Probe scan xPP_3.04-4.70_HWP=30.00_Del=158.50.txt
158.40,raw_data/18.02.23/14h44m22s_Probe scan xPP_3.05-4.70_HWP=30.00_Del=158.40.txt
158.30,raw_data/18.02.23/14h59m50s_Probe scan xPP_3.04-4.71_HWP=30.00_Del=158.30.txt
158.20,raw_data/18.02.23/15h15m19s_Probe scan xPP_3.02-4.70_HWP=30.00_Del=158.20.txt
159.70,raw_data/18.02.23/11h23m22s_Probe scan xPP_3.05-4.70_HWP=30.00_Del=159.70.txt
159.60,raw_data/18.02.23/11h38m50s_Probe scan xPP_3.06-4.70_HWP=30.00_Del=159.60.txt
159.50,raw_data/18.02.23/11h54m17s_Probe scan xPP_3.03-4.70_HWP=30.00_Del=159.50.txt
159.40,raw_data/18.02.23/12h09m46s_Probe scan xPP_3.03-4.70_HWP=30.00_Del=159.40.txt
159.30,raw_data/18.02.23/12h25m14s_Probe scan xPP_3.05-4.70_HWP=30.00_Del=159.30.txt
159.20,raw_data/18.02.23/12h40m42s_Probe scan xPP_3.02-4.71_HWP=30.00_Del=159.20.txt
159.10,raw_data/18.02.23/12h56m10s_Probe scan xPP_3.03-4.70_HWP=30.00_Del=159.10.txt
159.00,raw_data/18.02.23/13h11m38s_Probe scan xPP_3.05-4.70_HWP=30.00_Del=159.00.txt
158.90,raw_data/18.02.23/13h27m05s_Probe scan xPP_3.05-4.70_HWP=30.00_Del=158.90.txt
158.80,raw_data/18.02.23/13h42m32s_Probe scan xPP_3.04-4.71_HWP=30.00_Del=158.80.txt
