Pump-probe delay (ps);Path
1.0006922855944942;raw_data/22.01.23/01h25m48s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.18-10.97_HWP=40.00_Del=160.78_Dum=90.00.txt
1.4676820188718616;raw_data/23.01.23/08h26m19s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.08-10.92_HWP=40.00_Del=160.71_Dum=90.00.txt
2.0013845711889884;raw_data/21.01.23/01h22m46s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.17-11.02_HWP=40.00_Del=160.63_Dum=90.00.txt
3.0020768567834826;raw_data/23.01.23/09h15m45s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.07-10.93_HWP=40.00_Del=160.48_Dum=90.00.txt
4.002769142377788;raw_data/21.01.23/02h51m42s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.13-10.99_HWP=40.00_Del=160.33_Dum=90.00.txt
5.003461427972281;raw_data/23.01.23/10h05m13s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.05-10.93_HWP=40.00_Del=160.18_Dum=90.00.txt
6.004153713566775;raw_data/23.01.23/10h54m38s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.04-10.93_HWP=40.00_Del=160.03_Dum=90.00.txt
8.005538284755763;raw_data/21.01.23/04h20m36s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.13-11.00_HWP=40.00_Del=159.73_Dum=90.00.txt
11.007615141539057;raw_data/22.01.23/02h15m15s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.17-10.98_HWP=40.00_Del=159.28_Dum=90.00.txt
13.008999712728045;raw_data/23.01.23/12h46m00s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.07-10.91_HWP=40.00_Del=158.98_Dum=90.00.txt
16.01107656951134;raw_data/21.01.23/05h49m30s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.13-11.00_HWP=40.00_Del=158.53_Dum=90.00.txt
21.014537997483618;raw_data/22.01.23/03h04m43s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.16-10.98_HWP=40.00_Del=157.78_Dum=90.00.txt
31.02146085342818;raw_data/22.01.23/03h54m10s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.20-10.99_HWP=40.00_Del=156.28_Dum=90.00.txt
32.02215313902268;raw_data/21.01.23/07h18m26s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.12-10.99_HWP=40.00_Del=156.13_Dum=90.00.txt
41.02838370937275;raw_data/22.01.23/04h43m39s_ZnTe-PNPA delay dependence (fine, chopped probe)_5.13-10.96_HWP=40.00_Del=154.78_Dum=90.00.txt
