Temperature,Direction,Path
5,+1,raw_data/19.03.23/17h54m26s_F21059_eSRR GateScan_xT_4.98-5.78_Tem=5.00.txt
15,+1,raw_data/19.03.23/18h03m35s_F21059_eSRR GateScan_xT_15.02-17.26_Tem=15.00.txt
25,+1,raw_data/19.03.23/18h11m56s_F21059_eSRR GateScan_xT_25.00-26.59_Tem=25.00.txt
35,+1,raw_data/19.03.23/18h20m24s_F21059_eSRR GateScan_xT_35.00-36.38_Tem=35.00.txt
45,+1,raw_data/19.03.23/18h29m08s_F21059_eSRR GateScan_xT_45.00-46.26_Tem=45.00.txt
55,+1,raw_data/19.03.23/18h38m05s_F21059_eSRR GateScan_xT_55.00-56.17_Tem=55.00.txt
65,+1,raw_data/19.03.23/18h47m28s_F21059_eSRR GateScan_xT_65.00-66.09_Tem=65.00.txt
75,+1,raw_data/19.03.23/18h57m16s_F21059_eSRR GateScan_xT_75.00-76.02_Tem=75.00.txt
85,+1,raw_data/19.03.23/19h07m33s_F21059_eSRR GateScan_xT_85.00-85.96_Tem=85.00.txt
95,+1,raw_data/19.03.23/19h18m44s_F21059_eSRR GateScan_xT_95.00-95.91_Tem=95.00.txt
110,+1,raw_data/19.03.23/19h33m07s_F21059_eSRR GateScan_xT_110.00-110.86_Tem=110.00.txt
115,+1,raw_data/19.03.23/19h42m42s_F21059_eSRR GateScan_xT_115.00-115.83_Tem=115.00.txt
120,+1,raw_data/19.03.23/19h52m23s_F21059_eSRR GateScan_xT_120.00-120.79_Tem=120.00.txt
125,+1,raw_data/19.03.23/20h02m03s_F21059_eSRR GateScan_xT_125.00-125.75_Tem=125.00.txt
130,+1,raw_data/19.03.23/20h12m31s_F21059_eSRR GateScan_xT_130.00-130.71_Tem=130.00.txt
135,+1,raw_data/19.03.23/20h22m46s_F21059_eSRR GateScan_xT_135.00-135.67_Tem=135.00.txt
140,+1,raw_data/19.03.23/20h32m50s_F21059_eSRR GateScan_xT_140.00-140.64_Tem=140.00.txt
145,+1,raw_data/19.03.23/20h42m54s_F21059_eSRR GateScan_xT_145.00-145.61_Tem=145.00.txt
150,+1,raw_data/19.03.23/20h52m56s_F21059_eSRR GateScan_xT_150.00-150.58_Tem=150.00.txt
155,+1,raw_data/19.03.23/21h03m11s_F21059_eSRR GateScan_xT_155.00-155.55_Tem=155.00.txt
160,+1,raw_data/19.03.23/21h13m44s_F21059_eSRR GateScan_xT_160.00-160.52_Tem=160.00.txt
165,+1,raw_data/19.03.23/21h24m22s_F21059_eSRR GateScan_xT_165.00-165.49_Tem=165.00.txt
170,+1,raw_data/19.03.23/21h34m58s_F21059_eSRR GateScan_xT_170.00-170.46_Tem=170.00.txt
175,+1,raw_data/19.03.23/21h45m53s_F21059_eSRR GateScan_xT_175.00-175.42_Tem=175.00.txt
