#doi:10.1063/1.3549615
T (K),C (J/mol K)
1.74,3.22
3.73,2.21
5.72,1.54
8.21,0.87
9.70,0.87
11.69,0.87
13.68,0.87
15.67,1.54
18.16,1.88
20.15,2.55
25.12,4.90
30.10,7.92
35.07,11.28
40.05,14.30
45.02,17.32
50.00,20.34
54.98,23.36
60.45,26.38
65.42,29.06
70.40,31.74
75.37,34.43
80.35,36.78
85.82,39.46
90.80,42.15
95.77,45.17
100.75,47.52
105.72,50.20
110.70,52.55
115.67,55.23
121.14,57.92
126.12,60.27
131.09,62.62
136.07,64.97
141.04,66.98
146.52,69.66
151.00,71.68
156.47,73.69
160.95,76.04
163.43,77.05
165.42,77.72
167.41,78.39
169.40,79.40
171.39,80.40
173.38,81.07
175.37,82.08
177.86,83.09
180.35,84.43
