freq,eps.real,eps.imag,sig.real,sig.imag
299760191.84652275,-114652.1095410425,2465041855.1324134,41107175.94003494,1911.9616716295325
599520383.6930455,-114652.10879694446,1232520919.5671527,41107175.6732496,3823.923318441824
899280575.5395683,-114652.10755678102,821680604.1569308,41107175.22860737,5735.884915619632
1199040767.386091,-114652.10582055233,616260443.7854687,41107174.60610824,7647.84643834572
1498800959.2326138,-114652.10358825834,493008345.4295108,41107173.80575227,9559.807861802854
1798561151.0791368,-114652.10085989915,410840278.0813052,41107172.82753946,11471.769161173805
2098321342.9256592,-114652.09763547477,352148799.8803868,41107171.67146981,13383.730311641331
2398081534.772182,-114652.09391498541,308130189.89652324,41107170.33754338,15295.69128838824
2697841726.618705,-114652.08969843102,273893492.057363,41107168.82576021,17207.6520665973
2997601918.4652276,-114652.08498581182,246504132.71949542,41107167.13612033,19119.612621451317
3297362110.3117504,-114652.07977712786,224094655.9280226,41107165.268623754,21031.57292813309
3597122302.158273,-114652.07407237928,205420091.04634625,41107163.22327059,22943.53296182544
3896882494.004796,-114652.06787156635,189618535.326052,41107161.00006085,24855.492697711215
4196642685.8513193,-114652.06117468906,176074343.9468439,41107158.59899459,26767.452110973227
4496402877.697843,-114652.05398174762,164336044.04050493,41107156.02007188,28679.411176794332
4796163069.544364,-114652.04629274237,154065030.95587254,41107153.2632928,30591.369870357434
5095923261.390887,-114652.03810767329,145002371.72441033,41107150.3286574,32503.328166845393
5395683453.237411,-114652.02942654076,136946674.037257,41107147.21616578,34415.286041441126
5695443645.083933,-114652.02024934492,129738943.96636398,41107143.92581801,36327.24346932754
5995203836.930455,-114652.01057608606,123251986.36929248,41107140.45761417,38239.2004256876
6294964028.7769785,-114652.00040676435,117382833.74978253,41107136.81155434,40151.15688570425
6594724220.623501,-114651.98974138015,112047239.97453058,41107132.987638645,42063.112824560485
6894484412.470024,-114651.97857993367,107175610.4116771,41107128.985867165,43975.0682174393
7194244604.316547,-114651.96692242523,102709949.53467257,41107124.806240015,45887.023039523745
7494004796.163069,-114651.95476885511,98601541.10121539,41107120.448757276,47798.97726599684
7793764988.009592,-114651.94211922366,94809163.67551185,41107115.91341909,49710.9308720417
8093525179.856115,-114651.92897353116,91297702.70114517,41107111.20022556,51622.88383284141
8393285371.702639,-114651.915331778,88037059.98690096,41107106.309176825,53534.83612357912
8693045563.549162,-114651.90119396453,85001288.81621507,41107101.240273,55446.787719438005
8992805755.395683,-114651.88656009105,82167902.03473192,41107095.993514195,57358.73859560119
9292565947.242207,-114651.87143015802,79517314.05639993,41107090.568900585,59270.688727251996
9592326139.088728,-114651.85580416584,77032387.49342391,41107084.96643228,61182.63808957364
9892086330.935251,-114651.83968211486,74698062.21713543,41107079.18610946,63094.58665774941
1.0191846522781775e10,-114651.82306400547,72501049.87870935,41107073.227932245,65006.534406962615
1.0491606714628298e10,-114651.80594983818,70429580.79775774,41107067.0919008,66918.48131239665
1.0791366906474821e10,-114651.78833961344,68473193.03615803,41107060.778015286,68830.4273492349
