# Flat substrate index of 4.8 without absorption.
# Homogeneous conductivity across sample.
cond,freq,param,value
0.0,0.5,s11.real,-0.0298
0.0,0.52,s11.real,0.0101
0.0,0.54,s11.real,0.0497
0.0,0.56,s11.real,0.0892
0.0,0.58,s11.real,0.1284
0.0,0.6,s11.real,0.1671
0.0,0.62,s11.real,0.2052
0.0,0.64,s11.real,0.2426
0.0,0.66,s11.real,0.2791
0.0,0.68,s11.real,0.3207
0.0,0.7,s11.real,0.3492
0.0,0.72,s11.real,0.3825
0.0,0.74,s11.real,0.4146
0.0,0.76,s11.real,0.4454
0.0,0.78,s11.real,0.4748
0.0,0.8,s11.real,0.5028
0.0,0.82,s11.real,0.5296
0.0,0.84,s11.real,0.5551
0.0,0.86,s11.real,0.5797
0.0,0.88,s11.real,0.6035
0.0,0.9,s11.real,0.6273
0.0,0.92,s11.real,0.6521
0.0,0.94,s11.real,0.6799
0.0,0.96,s11.real,0.7139
0.0,0.98,s11.real,0.7593
0.0,1.0,s11.real,0.8185
0.0,1.02,s11.real,0.8668
0.0,1.04,s11.real,0.8418
0.0,1.06,s11.real,0.7541
0.0,1.08,s11.real,0.6883
0.0,1.1,s11.real,0.6462
0.0,1.12,s11.real,0.6184
0.0,1.14,s11.real,0.5968
0.0,1.16,s11.real,0.5773
0.0,1.18,s11.real,0.558
0.0,1.2,s11.real,0.5379
0.0,1.22,s11.real,0.5165
0.0,1.24,s11.real,0.4936
0.0,1.26,s11.real,0.4692
0.0,1.28,s11.real,0.4432
0.0,1.3,s11.real,0.4156
0.0,1.32,s11.real,0.3864
0.0,1.34,s11.real,0.3557
0.0,1.36,s11.real,0.3234
0.0,1.38,s11.real,0.2897
0.0,1.4,s11.real,0.2545
0.0,1.42,s11.real,0.218
0.0,1.44,s11.real,0.1802
0.0,1.46,s11.real,0.1412
0.0,1.48,s11.real,0.1012
0.0,1.5,s11.real,0.0602
0.0,1.52,s11.real,0.0185
0.0,1.54,s11.real,-0.0238
0.0,1.56,s11.real,-0.0665
0.0,1.58,s11.real,-0.1094
0.0,1.6,s11.real,-0.1525
0.0,1.62,s11.real,-0.1955
0.0,1.64,s11.real,-0.2383
0.0,1.66,s11.real,-0.2809
0.0,1.68,s11.real,-0.3231
0.0,1.7,s11.real,-0.3648
0.0,1.72,s11.real,-0.4058
0.0,1.74,s11.real,-0.4461
0.0,1.76,s11.real,-0.4855
0.0,1.78,s11.real,-0.5238
0.0,1.8,s11.real,-0.5606
0.0,1.82,s11.real,-0.5957
0.0,1.84,s11.real,-0.6287
0.0,1.86,s11.real,-0.6591
0.0,1.88,s11.real,-0.6862
0.0,1.9,s11.real,-0.7098
0.0,1.92,s11.real,-0.7293
0.0,1.94,s11.real,-0.7444
0.0,1.96,s11.real,-0.755
0.0,1.98,s11.real,-0.7612
0.0,2.0,s11.real,-0.7631
0.0,2.02,s11.real,-0.7613
0.0,2.04,s11.real,-0.7558
0.0,2.06,s11.real,-0.7472
0.0,2.08,s11.real,-0.7357
0.0,2.1,s11.real,-0.7214
0.0,2.12,s11.real,-0.7046
0.0,2.14,s11.real,-0.6851
0.0,2.16,s11.real,-0.6632
0.0,2.18,s11.real,-0.6388
0.0,2.2,s11.real,-0.6118
0.0,2.22,s11.real,-0.5824
0.0,2.24,s11.real,-0.5506
0.0,2.26,s11.real,-0.5165
0.0,2.28,s11.real,-0.4804
0.0,2.3,s11.real,-0.4424
0.0,2.32,s11.real,-0.4028
0.0,2.34,s11.real,-0.3617
0.0,2.36,s11.real,-0.3194
0.0,2.38,s11.real,-0.2762
0.0,2.4,s11.real,-0.2325
0.0,2.42,s11.real,-0.1881
0.0,2.44,s11.real,-0.1432
0.0,2.46,s11.real,-0.0979
0.0,2.48,s11.real,-0.0521
0.0,2.5,s11.real,-0.0059
0.0,2.52,s11.real,0.0406
0.0,2.54,s11.real,0.0873
0.0,2.56,s11.real,0.1341
0.0,2.58,s11.real,0.1806
0.0,2.6,s11.real,0.2266
0.0,2.62,s11.real,0.272
0.0,2.64,s11.real,0.3163
0.0,2.66,s11.real,0.3594
0.0,2.68,s11.real,0.4011
0.0,2.7,s11.real,0.4408
0.0,2.72,s11.real,0.4788
0.0,2.74,s11.real,0.5145
0.0,2.76,s11.real,0.548
0.0,2.78,s11.real,0.5788
0.0,2.8,s11.real,0.6072
0.0,2.82,s11.real,0.6328
0.0,2.84,s11.real,0.6557
0.0,2.86,s11.real,0.6757
0.0,2.88,s11.real,0.6928
0.0,2.9,s11.real,0.707
0.0,2.92,s11.real,0.7183
0.0,2.94,s11.real,0.7266
0.0,2.96,s11.real,0.7321
0.0,2.98,s11.real,0.7346
0.0,3.0,s11.real,0.7341
10.0,0.5,s11.real,-0.0298
10.0,0.52,s11.real,0.0101
10.0,0.54,s11.real,0.0497
10.0,0.56,s11.real,0.0893
10.0,0.58,s11.real,0.1284
10.0,0.6,s11.real,0.1671
10.0,0.62,s11.real,0.2052
10.0,0.64,s11.real,0.2426
10.0,0.66,s11.real,0.2791
10.0,0.68,s11.real,0.3207
10.0,0.7,s11.real,0.3493
10.0,0.72,s11.real,0.3825
10.0,0.74,s11.real,0.4146
10.0,0.76,s11.real,0.4454
10.0,0.78,s11.real,0.4748
10.0,0.8,s11.real,0.5029
10.0,0.82,s11.real,0.5296
10.0,0.84,s11.real,0.5551
10.0,0.86,s11.real,0.5797
10.0,0.88,s11.real,0.6035
10.0,0.9,s11.real,0.6273
10.0,0.92,s11.real,0.6521
10.0,0.94,s11.real,0.6799
10.0,0.96,s11.real,0.714
10.0,0.98,s11.real,0.7593
10.0,1.0,s11.real,0.8184
10.0,1.02,s11.real,0.8666
10.0,1.04,s11.real,0.8416
10.0,1.06,s11.real,0.7541
10.0,1.08,s11.real,0.6883
10.0,1.1,s11.real,0.6462
10.0,1.12,s11.real,0.6185
10.0,1.14,s11.real,0.5969
10.0,1.16,s11.real,0.5774
10.0,1.18,s11.real,0.558
10.0,1.2,s11.real,0.5379
10.0,1.22,s11.real,0.5165
10.0,1.24,s11.real,0.4937
10.0,1.26,s11.real,0.4693
10.0,1.28,s11.real,0.4432
10.0,1.3,s11.real,0.4156
10.0,1.32,s11.real,0.3864
10.0,1.34,s11.real,0.3557
10.0,1.36,s11.real,0.3234
10.0,1.38,s11.real,0.2897
10.0,1.4,s11.real,0.2545
10.0,1.42,s11.real,0.218
10.0,1.44,s11.real,0.1802
10.0,1.46,s11.real,0.1412
10.0,1.48,s11.real,0.1012
10.0,1.5,s11.real,0.0602
10.0,1.52,s11.real,0.0185
10.0,1.54,s11.real,-0.0238
10.0,1.56,s11.real,-0.0665
10.0,1.58,s11.real,-0.1094
10.0,1.6,s11.real,-0.1525
10.0,1.62,s11.real,-0.1955
10.0,1.64,s11.real,-0.2383
10.0,1.66,s11.real,-0.2809
10.0,1.68,s11.real,-0.3231
10.0,1.7,s11.real,-0.3648
10.0,1.72,s11.real,-0.4058
10.0,1.74,s11.real,-0.4461
10.0,1.76,s11.real,-0.4855
10.0,1.78,s11.real,-0.5238
10.0,1.8,s11.real,-0.5606
10.0,1.82,s11.real,-0.5957
10.0,1.84,s11.real,-0.6287
10.0,1.86,s11.real,-0.6591
10.0,1.88,s11.real,-0.6862
10.0,1.9,s11.real,-0.7098
10.0,1.92,s11.real,-0.7292
10.0,1.94,s11.real,-0.7444
10.0,1.96,s11.real,-0.755
10.0,1.98,s11.real,-0.7612
10.0,2.0,s11.real,-0.7631
10.0,2.02,s11.real,-0.7613
10.0,2.04,s11.real,-0.7558
10.0,2.06,s11.real,-0.7472
10.0,2.08,s11.real,-0.7357
10.0,2.1,s11.real,-0.7214
10.0,2.12,s11.real,-0.7046
10.0,2.14,s11.real,-0.6851
10.0,2.16,s11.real,-0.6632
10.0,2.18,s11.real,-0.6388
10.0,2.2,s11.real,-0.6118
10.0,2.22,s11.real,-0.5824
10.0,2.24,s11.real,-0.5506
10.0,2.26,s11.real,-0.5165
10.0,2.28,s11.real,-0.4804
10.0,2.3,s11.real,-0.4424
10.0,2.32,s11.real,-0.4028
10.0,2.34,s11.real,-0.3617
10.0,2.36,s11.real,-0.3194
10.0,2.38,s11.real,-0.2762
10.0,2.4,s11.real,-0.2325
10.0,2.42,s11.real,-0.1881
10.0,2.44,s11.real,-0.1432
10.0,2.46,s11.real,-0.0979
10.0,2.48,s11.real,-0.0521
10.0,2.5,s11.real,-0.0059
10.0,2.52,s11.real,0.0406
10.0,2.54,s11.real,0.0873
10.0,2.56,s11.real,0.1341
