# Direction = +1 corresponds to warming
Set temperature,Get temperature,Direction,Path
205,205.49,-1,raw_data/17.01.23/09h33m41s_ZnTe spectrum F21059_205.00-205.49_Tem=205.00.txt
195,195.53,-1,raw_data/17.01.23/10h40m45s_ZnTe spectrum F21059_195.00-195.53_Tem=195.00.txt
185,185.58,-1,raw_data/17.01.23/11h48m32s_ZnTe spectrum F21059_185.00-185.58_Tem=185.00.txt
175,175.64,-1,raw_data/17.01.23/12h56m59s_ZnTe spectrum F21059_175.00-175.64_Tem=175.00.txt
165,165.71,-1,raw_data/17.01.23/14h05m18s_ZnTe spectrum F21059_165.00-165.71_Tem=165.00.txt
155,155.77,-1,raw_data/17.01.23/15h13m42s_ZnTe spectrum F21059_155.00-155.77_Tem=155.00.txt
145,145.83,-1,raw_data/17.01.23/16h22m42s_ZnTe spectrum F21059_145.00-145.83_Tem=145.00.txt
135,135.90,-1,raw_data/17.01.23/18h33m39s_ZnTe spectrum F21059_135.00-135.90_Tem=135.00.txt
125,125.98,-1,raw_data/17.01.23/19h42m05s_ZnTe spectrum F21059_125.00-125.98_Tem=125.00.txt
115,116.08,-1,raw_data/17.01.23/20h50m30s_ZnTe spectrum F21059_115.00-116.08_Tem=115.00.txt
105,106.20,-1,raw_data/17.01.23/23h48m21s_ZnTe spectrum F21059_105.00-106.20_Tem=105.00.txt
95,96.26,-1,raw_data/18.01.23/00h56m45s_ZnTe spectrum F21059_95.00-96.26_Tem=95.00.txt
85,86.34,-1,raw_data/18.01.23/02h05m00s_ZnTe spectrum F21059_85.00-86.34_Tem=85.00.txt
75,76.46,-1,raw_data/18.01.23/03h12m49s_ZnTe spectrum F21059_75.00-76.46_Tem=75.00.txt
65,66.61,-1,raw_data/18.01.23/04h20m23s_ZnTe spectrum F21059_65.00-66.61_Tem=65.00.txt
55,56.79,-1,raw_data/18.01.23/05h27m16s_ZnTe spectrum F21059_55.00-56.79_Tem=55.00.txt
45,47.03,-1,raw_data/18.01.23/06h34m33s_ZnTe spectrum F21059_45.00-47.03_Tem=45.00.txt
35,37.37,-1,raw_data/18.01.23/07h40m36s_ZnTe spectrum F21059_35.00-37.37_Tem=35.00.txt
25,27.17,-1,raw_data/18.01.23/08h46m23s_ZnTe spectrum F21059_25.00-27.17_Tem=25.00.txt
15,19.36,-1,raw_data/18.01.23/09h51m16s_ZnTe spectrum F21059_14.98-19.36_Tem=15.00.txt
5,10.92,-1,raw_data/18.01.23/12h06m49s_ZnTe spectrum F21059_5.01-10.92_Tem=5.00.txt
5,10.04,+1,raw_data/14.01.23/02h38m10s_ZnTe spectrum F21059_5.02-10.04_Tem=5.00.txt
15,18.41,+1,raw_data/14.01.23/03h39m39s_ZnTe spectrum F21059_15.02-18.41_Tem=15.00.txt
25,27.30,+1,raw_data/14.01.23/04h39m39s_ZnTe spectrum F21059_25.00-27.30_Tem=25.00.txt
35,36.88,+1,raw_data/14.01.23/05h39m42s_ZnTe spectrum F21059_35.00-36.88_Tem=35.00.txt
45,46.62,+1,raw_data/14.01.23/06h40m06s_ZnTe spectrum F21059_45.00-46.62_Tem=45.00.txt
55,56.44,+1,raw_data/14.01.23/07h41m00s_ZnTe spectrum F21059_55.00-56.44_Tem=55.00.txt
65,66.30,+1,raw_data/14.01.23/08h41m46s_ZnTe spectrum F21059_65.00-66.30_Tem=65.00.txt
75,76.17,+1,raw_data/14.01.23/09h42m44s_ZnTe spectrum F21059_75.00-76.17_Tem=75.00.txt
85,86.08,+1,raw_data/14.01.23/10h44m14s_ZnTe spectrum F21059_85.00-86.08_Tem=85.00.txt
95,96.00,+1,raw_data/14.01.23/11h46m36s_ZnTe spectrum F21059_95.00-96.00_Tem=95.00.txt
105,105.93,+1,raw_data/14.01.23/12h49m13s_ZnTe spectrum F21059_105.00-105.93_Tem=105.00.txt
115,115.86,+1,raw_data/14.01.23/13h52m47s_ZnTe spectrum F21059_115.00-115.86_Tem=115.00.txt
125,125.76,+1,raw_data/14.01.23/14h56m14s_ZnTe spectrum F21059_125.00-125.76_Tem=125.00.txt
135,135.68,+1,raw_data/14.01.23/15h59m58s_ZnTe spectrum F21059_135.00-135.68_Tem=135.00.txt
145,145.62,+1,raw_data/14.01.23/17h04m09s_ZnTe spectrum F21059_145.00-145.62_Tem=145.00.txt
155,155.57,+1,raw_data/14.01.23/18h09m15s_ZnTe spectrum F21059_155.00-155.57_Tem=155.00.txt
165,165.51,+1,raw_data/14.01.23/19h15m07s_ZnTe spectrum F21059_165.00-165.52_Tem=165.00.txt
175,175.46,+1,raw_data/14.01.23/20h21m11s_ZnTe spectrum F21059_175.00-175.46_Tem=175.00.txt
185,185.42,+1,raw_data/14.01.23/21h27m59s_ZnTe spectrum F21059_185.00-185.42_Tem=185.00.txt
195,195.39,+1,raw_data/14.01.23/22h35m38s_ZnTe spectrum F21059_195.00-195.39_Tem=195.00.txt
205,205.36,+1,raw_data/14.01.23/23h44m19s_ZnTe spectrum F21059_205.00-205.36_Tem=205.00.txt
