Set temperature,Get temperature,HWP,Path
3.5,5.10,35,raw_data/01.03.23/17h08m59s_1D scan xHWP_3.49-5.10_Tem=3.50_HWP=35.00_Sam=9.33.txt
3.5,5.10,37,raw_data/01.03.23/17h24m09s_1D scan xHWP_3.50-5.10_Tem=3.50_HWP=37.00_Sam=9.33.txt
3.5,5.10,39,raw_data/01.03.23/17h39m13s_1D scan xHWP_3.49-5.10_Tem=3.50_HWP=39.00_Sam=9.33.txt
3.5,5.10,41,raw_data/01.03.23/17h54m16s_1D scan xHWP_3.51-5.10_Tem=3.50_HWP=41.00_Sam=9.33.txt
3.5,5.10,43,raw_data/01.03.23/18h09m30s_1D scan xHWP_3.50-5.10_Tem=3.50_HWP=43.00_Sam=9.33.txt
3.5,5.11,45,raw_data/01.03.23/18h24m37s_1D scan xHWP_3.49-5.11_Tem=3.50_HWP=45.00_Sam=9.33.txt
3.5,5.11,47,raw_data/01.03.23/18h39m46s_1D scan xHWP_3.50-5.11_Tem=3.50_HWP=47.00_Sam=9.33.txt
3.5,5.10,49,raw_data/01.03.23/18h54m55s_1D scan xHWP_3.51-5.10_Tem=3.50_HWP=49.00_Sam=9.33.txt
3.5,5.09,51,raw_data/01.03.23/19h09m59s_1D scan xHWP_3.52-5.09_Tem=3.50_HWP=51.00_Sam=9.33.txt
3.5,5.11,53,raw_data/01.03.23/19h25m03s_1D scan xHWP_3.49-5.11_Tem=3.50_HWP=53.00_Sam=9.33.txt
3.5,5.09,55,raw_data/01.03.23/19h40m10s_1D scan xHWP_3.49-5.09_Tem=3.50_HWP=55.00_Sam=9.33.txt
3.5,5.11,57,raw_data/01.03.23/19h55m13s_1D scan xHWP_3.49-5.11_Tem=3.50_HWP=57.00_Sam=9.33.txt
3.5,5.10,59,raw_data/01.03.23/20h10m16s_1D scan xHWP_3.52-5.10_Tem=3.50_HWP=59.00_Sam=9.33.txt
3.5,5.10,61,raw_data/01.03.23/20h25m20s_1D scan xHWP_3.50-5.10_Tem=3.50_HWP=61.00_Sam=9.33.txt
3.5,5.10,63,raw_data/01.03.23/20h40m24s_1D scan xHWP_3.49-5.10_Tem=3.50_HWP=63.00_Sam=9.33.txt
3.5,5.10,65,raw_data/01.03.23/20h55m37s_1D scan xHWP_3.48-5.10_Tem=3.50_HWP=65.00_Sam=9.33.txt
25,27.15,35,raw_data/01.03.23/21h32m05s_1D scan xHWP_25.00-27.15_Tem=25.00_HWP=35.00_Sam=9.33.txt
25,27.15,37,raw_data/01.03.23/21h51m27s_1D scan xHWP_25.00-27.15_Tem=25.00_HWP=37.00_Sam=9.33.txt
25,27.15,39,raw_data/01.03.23/22h10m48s_1D scan xHWP_25.00-27.15_Tem=25.00_HWP=39.00_Sam=9.33.txt
25,27.14,41,raw_data/01.03.23/22h30m04s_1D scan xHWP_25.00-27.14_Tem=25.00_HWP=41.00_Sam=9.33.txt
25,27.14,43,raw_data/01.03.23/22h41m36s_1D scan xHWP_25.00-27.14_Tem=25.00_HWP=43.00_Sam=9.33.txt
25,27.14,35,raw_data/01.03.23/22h54m38s_1D scan xHWP_25.00-27.14_Tem=25.00_HWP=35.00_Sam=9.33.txt
25,27.14,38,raw_data/01.03.23/23h06m54s_1D scan xHWP_25.00-27.14_Tem=25.00_HWP=38.00_Sam=9.33.txt
25,27.13,41,raw_data/01.03.23/23h19m13s_1D scan xHWP_25.00-27.13_Tem=25.00_HWP=41.00_Sam=9.33.txt
25,27.14,44,raw_data/01.03.23/23h31m34s_1D scan xHWP_25.00-27.14_Tem=25.00_HWP=44.00_Sam=9.33.txt
25,27.13,47,raw_data/01.03.23/23h43m57s_1D scan xHWP_25.00-27.13_Tem=25.00_HWP=47.00_Sam=9.33.txt
25,27.13,50,raw_data/01.03.23/23h56m16s_1D scan xHWP_25.00-27.13_Tem=25.00_HWP=50.00_Sam=9.33.txt
25,27.13,53,raw_data/02.03.23/00h08m42s_1D scan xHWP_25.00-27.13_Tem=25.00_HWP=53.00_Sam=9.33.txt
25,27.13,56,raw_data/02.03.23/00h21m05s_1D scan xHWP_25.00-27.13_Tem=25.00_HWP=56.00_Sam=9.33.txt
