# Pump polarized at 0 degrees (horizontal), perpendicular to the cavity polarization.
Delay,HWP,Path
163.13,55.00,raw_data/09.03.23/09h48m44s_F21059_eSRR THz probe chopped xHWP xPP_2.99-4.06_Del=163.13_HWP=55.00.txt
163.13,53.00,raw_data/09.03.23/03h33m57s_F21059_eSRR THz probe chopped xHWP xPP_3.11-4.47_Del=163.13_HWP=53.00.txt
163.13,51.00,raw_data/09.03.23/03h44m05s_F21059_eSRR THz probe chopped xHWP xPP_3.06-4.34_Del=163.13_HWP=51.00.txt
163.13,49.00,raw_data/09.03.23/03h54m11s_F21059_eSRR THz probe chopped xHWP xPP_3.04-4.30_Del=163.13_HWP=49.00.txt
163.13,47.00,raw_data/09.03.23/04h04m19s_F21059_eSRR THz probe chopped xHWP xPP_3.04-4.27_Del=163.13_HWP=47.00.txt
163.13,45.00,raw_data/09.03.23/04h14m27s_F21059_eSRR THz probe chopped xHWP xPP_3.04-4.24_Del=163.13_HWP=45.00.txt
163.13,43.00,raw_data/09.03.23/04h24m35s_F21059_eSRR THz probe chopped xHWP xPP_3.02-4.21_Del=163.13_HWP=43.00.txt
163.13,41.00,raw_data/09.03.23/04h34m43s_F21059_eSRR THz probe chopped xHWP xPP_3.03-4.19_Del=163.13_HWP=41.00.txt
163.13,39.00,raw_data/09.03.23/04h44m50s_F21059_eSRR THz probe chopped xHWP xPP_3.01-4.16_Del=163.13_HWP=39.00.txt
163.13,37.00,raw_data/09.03.23/04h55m29s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.15_Del=163.13_HWP=37.00.txt
163.13,35.00,raw_data/09.03.23/05h09m30s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.12_Del=163.13_HWP=35.00.txt
163.13,33.00,raw_data/09.03.23/05h22m40s_F21059_eSRR THz probe chopped xHWP xPP_3.01-4.11_Del=163.13_HWP=33.00.txt
163.13,31.00,raw_data/09.03.23/05h34m28s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.10_Del=163.13_HWP=31.00.txt
163.13,29.00,raw_data/09.03.23/05h44m35s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.09_Del=163.13_HWP=29.00.txt
163.13,27.00,raw_data/09.03.23/05h54m42s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.08_Del=163.13_HWP=27.00.txt
163.13,25.00,raw_data/09.03.23/06h04m49s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.15_Del=163.13_HWP=25.00.txt
163.13,23.00,raw_data/09.03.23/06h14m56s_F21059_eSRR THz probe chopped xHWP xPP_3.01-4.15_Del=163.13_HWP=23.00.txt
163.13,21.00,raw_data/09.03.23/06h25m03s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.14_Del=163.13_HWP=21.00.txt
161.64,55.00,raw_data/09.03.23/06h35m12s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.13_Del=161.64_HWP=55.00.txt
161.64,53.00,raw_data/09.03.23/06h45m19s_F21059_eSRR THz probe chopped xHWP xPP_2.99-4.12_Del=161.64_HWP=53.00.txt
161.64,51.00,raw_data/09.03.23/06h55m27s_F21059_eSRR THz probe chopped xHWP xPP_2.99-4.11_Del=161.64_HWP=51.00.txt
161.64,49.00,raw_data/09.03.23/07h05m33s_F21059_eSRR THz probe chopped xHWP xPP_3.01-4.12_Del=161.64_HWP=49.00.txt
161.64,47.00,raw_data/09.03.23/07h15m40s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.11_Del=161.64_HWP=47.00.txt
161.64,45.00,raw_data/09.03.23/07h25m47s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.10_Del=161.64_HWP=45.00.txt
161.64,43.00,raw_data/09.03.23/07h35m55s_F21059_eSRR THz probe chopped xHWP xPP_2.99-4.10_Del=161.64_HWP=43.00.txt
161.64,41.00,raw_data/09.03.23/07h46m02s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.10_Del=161.64_HWP=41.00.txt
161.64,39.00,raw_data/09.03.23/07h56m09s_F21059_eSRR THz probe chopped xHWP xPP_2.98-4.09_Del=161.64_HWP=39.00.txt
161.64,37.00,raw_data/09.03.23/08h06m16s_F21059_eSRR THz probe chopped xHWP xPP_2.99-4.09_Del=161.64_HWP=37.00.txt
161.64,35.00,raw_data/09.03.23/08h16m23s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.08_Del=161.64_HWP=35.00.txt
161.64,33.00,raw_data/09.03.23/08h26m30s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.09_Del=161.64_HWP=33.00.txt
161.64,31.00,raw_data/09.03.23/08h36m38s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.08_Del=161.64_HWP=31.00.txt
161.64,29.00,raw_data/09.03.23/08h46m45s_F21059_eSRR THz probe chopped xHWP xPP_2.99-4.08_Del=161.64_HWP=29.00.txt
161.64,27.00,raw_data/09.03.23/08h56m53s_F21059_eSRR THz probe chopped xHWP xPP_3.00-4.07_Del=161.64_HWP=27.00.txt
161.64,25.00,raw_data/09.03.23/09h07m00s_F21059_eSRR THz probe chopped xHWP xPP_2.99-4.07_Del=161.64_HWP=25.00.txt
161.64,23.00,raw_data/09.03.23/09h17m07s_F21059_eSRR THz probe chopped xHWP xPP_2.99-4.06_Del=161.64_HWP=23.00.txt
161.64,21.00,raw_data/09.03.23/09h27m14s_F21059_eSRR THz probe chopped xHWP xPP_2.99-4.06_Del=161.64_HWP=21.00.txt
