
HWP,Set temperature,Get temperature,Path
# 5 K
25.0,3.10,4.72,raw_data/24.02.23/10h50m41s_xT xHWP 20 ps_3.16-4.72_Tem=3.10_HWP=25.00_Del=160.72.txt
30.0,3.10,4.71,raw_data/24.02.23/11h05m36s_xT xHWP 20 ps_3.15-4.71_Tem=3.10_HWP=30.00_Del=160.72.txt
35.0,3.10,4.72,raw_data/24.02.23/11h21m18s_xT xHWP 20 ps_3.17-4.72_Tem=3.10_HWP=35.00_Del=160.72.txt
40.0,3.10,4.72,raw_data/24.02.23/11h37m34s_xT xHWP 20 ps_3.15-4.72_Tem=3.10_HWP=40.00_Del=160.72.txt
45.0,3.10,4.71,raw_data/24.02.23/11h55m59s_xT xHWP 20 ps_3.14-4.71_Tem=3.10_HWP=45.00_Del=160.72.txt
50.0,3.10,4.71,raw_data/24.02.23/12h11m42s_xT xHWP 20 ps_3.14-4.71_Tem=3.10_HWP=50.00_Del=160.72.txt
55.0,3.10,4.71,raw_data/24.02.23/12h28m06s_xT xHWP 20 ps_3.15-4.71_Tem=3.10_HWP=55.00_Del=160.72.txt
#57.5,3.10,4.83,raw_data/25.02.23/23h59m16s_xT xHWP 20 ps_3.19-4.83_Tem=3.10_HWP=57.50_Del=160.72.txt
60.0,3.10,4.70,raw_data/24.02.23/12h43m18s_xT xHWP 20 ps_3.16-4.70_Tem=3.10_HWP=60.00_Del=160.72.txt
65.0,3.10,4.70,raw_data/24.02.23/13h01m34s_xT xHWP 20 ps_3.16-4.70_Tem=3.10_HWP=65.00_Del=160.72.txt
# 10 K
25.0,10.00,10.79,raw_data/24.02.23/13h20m13s_xT xHWP 20 ps_10.06-10.79_Tem=10.00_HWP=25.00_Del=160.72.txt
30.0,10.00,10.74,raw_data/24.02.23/13h35m15s_xT xHWP 20 ps_9.95-10.74_Tem=10.00_HWP=30.00_Del=160.72.txt
35.0,10.00,10.74,raw_data/24.02.23/13h49m29s_xT xHWP 20 ps_10.05-10.74_Tem=10.00_HWP=35.00_Del=160.72.txt
40.0,10.00,10.77,raw_data/24.02.23/14h04m03s_xT xHWP 20 ps_10.05-10.77_Tem=10.00_HWP=40.00_Del=160.72.txt
45.0,10.00,10.78,raw_data/24.02.23/14h18m29s_xT xHWP 20 ps_10.05-10.78_Tem=10.00_HWP=45.00_Del=160.72.txt
50.0,10.00,10.79,raw_data/24.02.23/14h32m49s_xT xHWP 20 ps_9.95-10.79_Tem=10.00_HWP=50.00_Del=160.72.txt
55.0,10.00,10.74,raw_data/24.02.23/14h47m15s_xT xHWP 20 ps_10.00-10.74_Tem=10.00_HWP=55.00_Del=160.72.txt
#57.5,10.00,10.82,raw_data/26.02.23/00h14m33s_xT xHWP 20 ps_9.99-10.82_Tem=10.00_HWP=57.50_Del=160.72.txt
60.0,10.00,10.80,raw_data/24.02.23/15h01m24s_xT xHWP 20 ps_9.95-10.80_Tem=10.00_HWP=60.00_Del=160.72.txt
65.0,10.00,10.79,raw_data/24.02.23/15h15m28s_xT xHWP 20 ps_9.97-10.79_Tem=10.00_HWP=65.00_Del=160.72.txt
# 25 K
25.0,25.00,25.48,raw_data/25.02.23/01h30m47s_xT xHWP 20 ps_25.00-25.48_Tem=25.00_HWP=25.00_Del=160.72.txt
30.0,25.00,25.48,raw_data/25.02.23/01h44m53s_xT xHWP 20 ps_25.00-25.48_Tem=25.00_HWP=30.00_Del=160.72.txt
35.0,25.00,25.48,raw_data/25.02.23/01h59m01s_xT xHWP 20 ps_25.00-25.48_Tem=25.00_HWP=35.00_Del=160.72.txt
40.0,25.00,25.48,raw_data/25.02.23/02h13m04s_xT xHWP 20 ps_25.00-25.48_Tem=25.00_HWP=40.00_Del=160.72.txt
45.0,25.00,25.47,raw_data/25.02.23/02h27m11s_xT xHWP 20 ps_25.00-25.47_Tem=25.00_HWP=45.00_Del=160.72.txt
50.0,25.00,25.48,raw_data/25.02.23/02h41m21s_xT xHWP 20 ps_25.00-25.48_Tem=25.00_HWP=50.00_Del=160.72.txt
55.0,25.00,25.47,raw_data/25.02.23/02h55m36s_xT xHWP 20 ps_25.00-25.47_Tem=25.00_HWP=55.00_Del=160.72.txt
60.0,25.00,25.48,raw_data/25.02.23/03h09m42s_xT xHWP 20 ps_25.00-25.48_Tem=25.00_HWP=60.00_Del=160.72.txt
65.0,25.00,25.47,raw_data/25.02.23/03h23m49s_xT xHWP 20 ps_25.00-25.47_Tem=25.00_HWP=65.00_Del=160.72.txt
# # 50 K
# 25.0,50.00,51.26,raw_data/24.02.23/15h32m55s_xT xHWP 20 ps_50.00-51.26_Tem=50.00_HWP=25.00_Del=160.72.txt
# 30.0,50.00,51.26,raw_data/24.02.23/15h47m13s_xT xHWP 20 ps_50.00-51.26_Tem=50.00_HWP=30.00_Del=160.72.txt
# 35.0,50.00,51.26,raw_data/24.02.23/16h01m23s_xT xHWP 20 ps_50.00-51.26_Tem=50.00_HWP=35.00_Del=160.72.txt
# 40.0,50.00,51.26,raw_data/24.02.23/16h15m33s_xT xHWP 20 ps_50.00-51.26_Tem=50.00_HWP=40.00_Del=160.72.txt
# 45.0,50.00,51.25,raw_data/24.02.23/19h18m22s_xT xHWP 20 ps_50.00-51.25_Tem=50.00_HWP=45.00_Del=160.72.txt
# 50.0,50.00,51.29,raw_data/25.02.23/19h55m03s_xT xHWP 20 ps_50.00-51.29_Tem=50.00_HWP=50.00_Del=160.72.txt
# 55.0,50.00,51.29,raw_data/25.02.23/20h09m14s_xT xHWP 20 ps_50.00-51.29_Tem=50.00_HWP=55.00_Del=160.72.txt
# #57.5,50.00,51.42,raw_data/26.02.23/00h32m44s_xT xHWP 20 ps_50.00-51.42_Tem=50.00_HWP=57.50_Del=160.72.txt
# 60.0,50.00,51.29,raw_data/25.02.23/20h23m22s_xT xHWP 20 ps_50.00-51.29_Tem=50.00_HWP=60.00_Del=160.72.txt
# 65.0,50.00,51.29,raw_data/25.02.23/20h37m28s_xT xHWP 20 ps_50.00-51.29_Tem=50.00_HWP=65.00_Del=160.72.txt
# 75 K
25.0,75.00,76.06,raw_data/25.02.23/03h45m44s_xT xHWP 20 ps_75.00-76.06_Tem=75.00_HWP=25.00_Del=160.72.txt
30.0,75.00,76.05,raw_data/25.02.23/03h59m52s_xT xHWP 20 ps_75.00-76.05_Tem=75.00_HWP=30.00_Del=160.72.txt
35.0,75.00,76.05,raw_data/25.02.23/04h13m58s_xT xHWP 20 ps_75.00-76.05_Tem=75.00_HWP=35.00_Del=160.72.txt
40.0,75.00,76.05,raw_data/25.02.23/04h28m08s_xT xHWP 20 ps_75.00-76.05_Tem=75.00_HWP=40.00_Del=160.72.txt
45.0,75.00,76.05,raw_data/25.02.23/04h42m23s_xT xHWP 20 ps_75.00-76.05_Tem=75.00_HWP=45.00_Del=160.72.txt
50.0,75.00,76.05,raw_data/25.02.23/04h56m35s_xT xHWP 20 ps_75.00-76.05_Tem=75.00_HWP=50.00_Del=160.72.txt
55.0,75.00,76.04,raw_data/25.02.23/05h10m48s_xT xHWP 20 ps_75.00-76.04_Tem=75.00_HWP=55.00_Del=160.72.txt
#57.5,75.00,76.19,raw_data/26.02.23/00h53m31s_xT xHWP 20 ps_75.00-76.19_Tem=75.00_HWP=57.50_Del=160.72.txt
60.0,75.00,76.04,raw_data/25.02.23/05h25m14s_xT xHWP 20 ps_75.00-76.04_Tem=75.00_HWP=60.00_Del=160.72.txt
65.0,75.00,76.04,raw_data/25.02.23/05h39m24s_xT xHWP 20 ps_75.00-76.04_Tem=75.00_HWP=65.00_Del=160.72.txt
# 100 K
25.0,100.00,100.87,raw_data/24.02.23/19h48m51s_xT xHWP 20 ps_100.00-100.87_Tem=100.00_HWP=25.00_Del=160.72.txt
30.0,100.00,100.86,raw_data/24.02.23/20h02m57s_xT xHWP 20 ps_100.00-100.86_Tem=100.00_HWP=30.00_Del=160.72.txt
35.0,100.00,100.86,raw_data/24.02.23/20h17m05s_xT xHWP 20 ps_100.00-100.86_Tem=100.00_HWP=35.00_Del=160.72.txt
40.0,100.00,100.85,raw_data/24.02.23/20h31m20s_xT xHWP 20 ps_100.00-100.85_Tem=100.00_HWP=40.00_Del=160.72.txt
45.0,100.00,100.85,raw_data/24.02.23/20h45m37s_xT xHWP 20 ps_100.00-100.85_Tem=100.00_HWP=45.00_Del=160.72.txt
50.0,100.00,100.85,raw_data/24.02.23/21h00m26s_xT xHWP 20 ps_100.00-100.85_Tem=100.00_HWP=50.00_Del=160.72.txt
55.0,100.00,100.85,raw_data/24.02.23/21h14m35s_xT xHWP 20 ps_100.00-100.85_Tem=100.00_HWP=55.00_Del=160.72.txt
#57.5,100.00,101.05,raw_data/26.02.23/01h17m19s_xT xHWP 20 ps_100.00-101.05_Tem=100.00_HWP=57.50_Del=160.72.txt
60.0,100.00,100.85,raw_data/24.02.23/21h29m38s_xT xHWP 20 ps_100.00-100.85_Tem=100.00_HWP=60.00_Del=160.72.txt
65.0,100.00,100.85,raw_data/24.02.23/21h44m45s_xT xHWP 20 ps_100.00-100.85_Tem=100.00_HWP=65.00_Del=160.72.txt
# 125 K
25.0,125.00,125.73,raw_data/25.02.23/06h14m05s_xT xHWP 20 ps_125.00-125.73_Tem=125.00_HWP=25.00_Del=160.72.txt
30.0,125.00,125.72,raw_data/25.02.23/06h28m14s_xT xHWP 20 ps_125.00-125.72_Tem=125.00_HWP=30.00_Del=160.72.txt
35.0,125.00,125.72,raw_data/25.02.23/06h42m24s_xT xHWP 20 ps_125.00-125.72_Tem=125.00_HWP=35.00_Del=160.72.txt
40.0,125.00,125.71,raw_data/25.02.23/06h56m38s_xT xHWP 20 ps_125.00-125.71_Tem=125.00_HWP=40.00_Del=160.72.txt
45.0,125.00,125.71,raw_data/25.02.23/07h11m16s_xT xHWP 20 ps_125.00-125.71_Tem=125.00_HWP=45.00_Del=160.72.txt
50.0,125.00,125.71,raw_data/25.02.23/07h25m33s_xT xHWP 20 ps_125.00-125.71_Tem=125.00_HWP=50.00_Del=160.72.txt
55.0,125.00,125.71,raw_data/25.02.23/07h39m41s_xT xHWP 20 ps_125.00-125.71_Tem=125.00_HWP=55.00_Del=160.72.txt
#57.5,125.00,125.88,raw_data/26.02.23/01h44m01s_xT xHWP 20 ps_125.00-125.88_Tem=125.00_HWP=57.50_Del=160.72.txt
