HWP,Delay,t,Path
20.0,0.0,1090.6784,raw_data/06.02.23/10h20m07s_ZnTe F21059 transmission xPP xHWP_2.99-4.70_HWP=20.00_Del=0.00.txt
20.0,51.69,745.9061,raw_data/04.02.23/11h40m28s_ZnTe F21059 transmission xPP xHWP_HWP=20.00_Del=51.69.txt
20.0,103.37,401.2005,raw_data/03.02.23/17h54m50s_ZnTe F21059 transmission xPP xHWP_2.99-4.72_HWP=20.00_Del=103.37.txt
20.0,122.38,274.4038,raw_data/04.02.23/11h13m44s_ZnTe F21059 transmission xPP xHWP_HWP=20.00_Del=122.38.txt
20.0,141.39,147.6071,raw_data/03.02.23/17h35m23s_ZnTe F21059 transmission xPP xHWP_2.99-4.72_HWP=20.00_Del=141.39.txt
20.0,148.38,100.9838,raw_data/04.02.23/10h47m01s_ZnTe F21059 transmission xPP xHWP_HWP=20.00_Del=148.38.txt
20.0,152.28,74.9708,raw_data/06.02.23/11h50m26s_ZnTe F21059 transmission xPP xHWP_2.98-4.70_HWP=20.00_Del=152.28.txt
20.0,155.38,54.2938,raw_data/03.02.23/17h15m57s_ZnTe F21059 transmission xPP xHWP_2.99-4.72_HWP=20.00_Del=155.38.txt
20.0,157.95,37.1519,raw_data/05.02.23/22h24m47s_ZnTe F21059 transmission xPP xHWP_3.00-4.72_HWP=20.00_Del=157.95.txt
20.0,157.96,37.0852,raw_data/04.02.23/10h20m17s_ZnTe F21059 transmission xPP xHWP_HWP=20.00_Del=157.96.txt
20.0,160.53,19.9433,raw_data/03.02.23/16h56m30s_ZnTe F21059 transmission xPP xHWP_2.99-4.72_HWP=20.00_Del=160.53.txt
20.0,161.27,15.0075,raw_data/05.02.23/08h25m05s_ZnTe F21059 transmission xPP xHWP_Del=161.27_HWP=20.00.txt
20.0,162.02,10.005,raw_data/05.02.23/00h55m15s_ZnTe F21059 transmission xPP xHWP_Del=162.02_HWP=20.00.txt
20.0,162.76,5.0692,raw_data/04.02.23/09h53m35s_ZnTe F21059 transmission xPP xHWP_HWP=20.00_Del=162.76.txt
